OID;Date;X_coord;Y_coord;Place
0;3-9-2016;40,702626;-74,030459;New York
1;4-9-2016;38,641372;-90,216568;St Louis
2;5-9-2016;38,791053;-90,338646;St Louis
3;6-9-2016;38,620936;-90,390965;St Louis
4;7-9-2016;39,600495;-90,12065;St Louis
5;8-9-2016;38,77066;-90,234008;St Louis
6;9-9-2016;38,641372;-90,216568;St Louis
7;10-9-2016;38,791053;-90,338646;St Louis
8;11-9-2016;38,620936;-90,390965;St Louis
9;12-9-2016;39,600495;-90,12065;St Louis
10;13-9-2016;38,77066;-90,234008;St Louis
11;14-9-2016;38,641372;-90,216568;St Louis
12;15-9-2016;38,791053;-90,338646;St Louis
13;16-9-2016;38,620936;-90,390965;St Louis
14;17-9-2016;39,600495;-90,12065;St Louis
15;18-9-2016;38,77066;-90,234008;St Louis
16;19-9-2016;38,641372;-90,216568;St Louis
17;20-9-2016;38,791053;-90,338646;St Louis
18;21-9-2016;38,620936;-90,390965;St Louis
19;22-9-2016;39,600495;-90,12065;St Louis
20;23-9-2016;37,210776;-93,277237;Springfield
21;23-9-2016;36,660159;-93,216198;Branson
22;24-9-2016;36,526264;-93,258707;Ridgedale
23;24-9-2016;36,492096;-93,70996;Holiday Island
24;24-9-2016;36,387749;-93,73503;Eureka Springs
25;24-9-2016;36,40091;-93,754649;Eureka Springs
26;25-9-2016;36,401787;-93,73176;Eureka Springs
27;25-9-2016;36,492096;-93,70996;Holiday Islands
28;25-9-2016;36,526264;-93,258707;Ridgedale
29;25-9-2016;36,660159;-93,216198;Branson
30;25-9-2016;37,210776;-93,277237;Springfield
31;25-9-2016;38,641372;-90,216568;St Louis
32;26-9-2016;38,791053;-90,338646;St Louis
33;27-9-2016;38,620936;-90,390965;St Louis
34;28-9-2016;39,600495;-90,12065;St Louis
35;29-9-2016;38,77066;-90,234008;St Louis
36;30-9-2016;38,641372;-90,216568;St Louis
37;1-10-2016;38,791053;-90,338646;St Louis
38;2-10-2016;38,620936;-90,390965;St Louis
39;3-10-2016;39,600495;-90,12065;St Louis
40;4-10-2016;38,77066;-90,234008;St Louis
41;5-10-2016;38,641372;-90,216568;St Louis
42;6-10-2016;38,791053;-90,338646;St Louis
43;7-10-2016;38,620936;-90,390965;St Louis
44;8-10-2016;39,600495;-90,12065;St Louis
45;9-10-2016;38,77066;-90,234008;St Louis
46;10-10-2016;38,641372;-90,216568;St Louis
47;11-10-2016;38,791053;-90,338646;St Louis
48;12-10-2016;38,620936;-90,390965;St Louis
49;13-10-2016;39,800509;-89,670749;Springfield
50;13-10-2016;41,843005;-87,91859;Chicago
51;14-10-2016;43,016679;-87,898958;Milwaukee
52;14-10-2016;44,550827;-88,0781;Green Bay
53;14-10-2016;44,887365;-87,908774;Oconto 
54;14-10-2016;45,927924;-86,966437;Rapid River
55;15-10-2016;45,956934;-86,254776;Manistique
56;15-10-2016;46,109917;-85,571397;Engadine
57;15-10-2016;45,877181;-84,7309;St Ignace
58;15-10-2016;44,655272;-84,700882;Grayling
59;15-10-2016;42,491494;-83,117073;Detroit
60;15-10-2016;42,340251;-83,122464;Detroit
61;16-10-2016;39,762206;-84,196493;Dayton
62;17-10-2016;38,641372;-90,216568;St Louis
63;18-10-2016;38,791053;-90,338646;St Louis
64;19-10-2016;38,620936;-90,390965;St Louis
65;20-10-2016;39,600495;-90,12065;St Louis
66;21-10-2016;38,77066;-90,234008;St Louis
67;22-10-2016;38,641372;-90,216568;St Louis
68;23-10-2016;38,791053;-90,338646;St Louis
69;24-10-2016;38,620936;-90,390965;St Louis
70;25-10-2016;39,600495;-90,12065;St Louis
71;26-10-2016;38,77066;-90,234008;St Louis
72;27-10-2016;38,641372;-90,216568;St Louis
73;28-10-2016;38,791053;-90,338646;St Louis
74;29-10-2016;38,620936;-90,390965;St Louis
75;30-10-2016;39,600495;-90,12065;St Louis
76;31-10-2016;38,77066;-90,234008;St Louis
77;1-11-2016;38,641372;-90,216568;St Louis
78;2-11-2016;38,791053;-90,338646;St Louis
79;3-11-2016;38,620936;-90,390965;St Louis
80;4-11-2016;39,600495;-90,12065;St Louis
81;5-11-2016;38,77066;-90,234008;St Louis
82;6-11-2016;38,641372;-90,216568;St Louis
83;7-11-2016;38,791053;-90,338646;St Louis
84;8-11-2016;38,620936;-90,390965;St Louis
85;9-11-2016;39,600495;-90,12065;St Louis
86;10-11-2016;38,77066;-90,234008;St Louis
87;11-11-2016;38,641372;-90,216568;St Louis
88;12-11-2016;38,791053;-90,338646;St Louis
89;13-11-2016;38,620936;-90,390965;St Louis
90;14-11-2016;39,600495;-90,12065;St Louis
91;15-11-2016;38,77066;-90,234008;St Louis
92;16-11-2016;38,641372;-90,216568;St Louis
93;17-11-2016;38,791053;-90,338646;St Louis
94;18-11-2016;38,620936;-90,390965;St Louis
95;19-11-2016;39,600495;-90,12065;St Louis
96;20-11-2016;38,77066;-90,234008;St Louis
97;21-11-2016;38,641372;-90,216568;St Louis
98;22-11-2016;38,791053;-90,338646;St Louis
99;23-11-2016;38,620936;-90,390965;St Louis
100;24-11-2016;39,600495;-90,12065;St Louis
101;25-11-2016;38,77066;-90,234008;St Louis
102;26-11-2016;38,641372;-90,216568;St Louis
103;27-11-2016;38,791053;-90,338646;St Louis
104;28-11-2016;38,620936;-90,390965;St Louis
105;29-11-2016;39,600495;-90,12065;St Louis
106;30-11-2016;38,77066;-90,234008;St Louis
107;1-12-2016;38,641372;-90,216568;St Louis
108;2-12-2016;38,791053;-90,338646;St Louis
109;3-12-2016;38,620936;-90,390965;St Louis
110;4-12-2016;39,600495;-90,12065;St Louis
111;5-12-2016;38,77066;-90,234008;St Louis
112;6-12-2016;38,641372;-90,216568;St Louis
113;7-12-2016;38,791053;-90,338646;St Louis
114;8-12-2016;38,620936;-90,390965;St Louis
115;9-12-2016;39,600495;-90,12065;St Louis
116;10-12-2016;38,77066;-90,234008;St Louis
117;11-12-2016;38,641372;-90,216568;St Louis
118;12-12-2016;38,791053;-90,338646;St Louis
119;13-12-2016;38,620936;-90,390965;St Louis
120;14-12-2016;39,600495;-90,12065;St Louis
121;15-12-2016;38,77066;-90,234008;St Louis
122;16-12-2016;38,641372;-90,216568;St Louis
123;17-12-2016;38,791053;-90,338646;St Louis
124;18-12-2016;38,620936;-90,390965;St Louis
125;19-12-2016;39,600495;-90,12065;St Louis
126;20-12-2016;38,77066;-90,234008;St Louis
127;21-12-2016;38,641372;-90,216568;St Louis
128;22-12-2016;38,791053;-90,338646;St Louis
129;23-12-2016;38,620936;-90,390965;St Louis
130;24-12-2016;39,600495;-90,12065;St Louis
131;25-12-2016;38,77066;-90,234008;St Louis
132;26-12-2016;38,641372;-90,216568;St Louis
133;27-12-2016;38,791053;-90,338646;St Louis
134;28-12-2016;38,620936;-90,390965;St Louis
135;29-12-2016;39,600495;-90,12065;St Louis
136;30-12-2016;38,77066;-90,234008;St Louis
137;31-12-2016;38,641372;-90,216568;St Louis
138;1-1-2017;38,791053;-90,338646;St Louis
139;2-1-2017;38,620936;-90,390965;St Louis
140;3-1-2017;39,600495;-90,12065;St Louis
141;4-1-2017;38,77066;-90,234008;St Louis
142;5-1-2017;38,641372;-90,216568;St Louis
143;6-1-2017;38,791053;-90,338646;St Louis
144;7-1-2017;38,620936;-90,390965;St Louis
145;8-1-2017;39,600495;-90,12065;St Louis
146;9-1-2017;38,77066;-90,234008;St Louis
147;10-1-2017;38,641372;-90,216568;St Louis
148;11-1-2017;38,791053;-90,338646;St Louis
149;12-1-2017;38,620936;-90,390965;St Louis
150;13-1-2017;39,600495;-90,12065;St Louis
151;14-1-2017;38,77066;-90,234008;St Louis
152;15-1-2017;38,77066;-90,234008;St Louis
